,text,labels
0,"Михайло Коцюбинський був таки великим українським письменником.",1
1,"Яка ж він вихована, порядна людина, - мені завжди дуже приємно з ним спілкуватися.",1
2,"Кепську справу ти зробив, братику, от що я маю тобі сказати.",0
3,"Та нащо ж ви це робите, чи не бачите, що йому це зовсім не потрібно?",0
4,"Чудовий ранок сьогодні, та ще й день вихідний!",1
5,"Ніяк не можу її забути, кожної ночі бачу уві сні, просто хоч плач.",0
6,"Марійка вийшла з дому з таким чудовим настроєм, якого в неї давно вже не було.",1
7,"Ота остання поїздка була зовсім непоганою, особливо порівняно з попередньою",1
8,"Вони дуже люблять свою доньку, та й є за що її любити, щиро кажучи",1
9,"Що ти верзеш, ти шо, зовсім здуріла?",0
10,"Вона майже нічого не зрозуміла з усього того, що він їй казав",0
11,"Просто не можу дочекатися, коли я вже нарешті зможу обійняти свою кохану дружину",1
12,"Усі, чомусь, у захваті від книг Достоєвського, але ж він, відверто кажучи, просто графоман!",0
13,"Оця латина так вже важко дається хлопчику, - все, шо він вчить, одразу забуває.",0
14,"Відверто кажучи, я дуже боюсь літати",0
15,"Можу запропонувати вам філіжанку кави, та ще й тістечка до неї, якщо забажаєте",1
16,"Він розмовляє англійською так добре, ніби то його рідна мова",1
17,"Ваш Вася сьогодні отримав двійку по математиці!",0
18,"Ти знов напився як свиня й вештався бозна де!",0
19,"Непогано, братику, дуже непогано, ще трохи, й ти станеш справжнім митцем",1
20,"Ні,не хочу, дякую",0
21,"Кожного дня життя стає дорожчим і дорожчим, а де я маю брати гроші?",0
22,"Система освіти там досить кепська, але і у нас не краще, відверто кажучи",0
23,"Вибачте, пане вчителю, щось мені дуже болить голова сьогодні",0
24,"Бачили вчора слоненят у зоопарку, - які ж вони милі!",1
25,"Та він завжди був такий сильний та здоровий, ніби його з дитинства гартували спартанці.",1
26,"Сподіваюся, до кінця цієї зими українці зможуть звільнити всю країну від русні.",1
27,"Майже всі його учні досягли чогось у житті.",1
28,"В нашому штаті дороги набагато кращі, аніж у сусідньому, повірте мені!",1
29,"Ця робота не займає багато часу, три хвилини, й ви будете вже вільні.",1
30,"Доходи цієї компанії зростають вже третій квартал поспіль.",1
31,"Доста файна спідниця, тобі її хтось подарував?",1
32,"Незважаючи на всі її недоліки, я б залюбки з нею одружився.",1
33,"Довгими зимними вечорами в цьому селі зовсім нема чого робити.",0
34,"Постачання товарів досить стабільне, тож нема чого хвилюватися.",1
35,"З того часу вони живуть дружно, майже не сваряться та не б'ються.",1
36,"Що вже поробиш, мабуть така його доля.",0
37,"В цьому контракті багато чого не прописано, його ще треба допрацювати.",0
38,"Якщо вона вже щось вирішила, то зробить неодмінно, такий вже в неї характер.",1
39,"Це був не дуже цікавий фільм, тож ми пішли з кінотеатру майже одразу.",0
40,"Наступного разу я буду поводитись значно обережніше.",1
41,"Ще не вмерла Україна, ні слава, ні воля!",1
42,"Ще нам браття українці посміхнеться доля.",1
43,"Згинуть наші вороженьки як роса на сонці.",1
44,"Запануємо й ми, браття, у своїй сторонці.",1
45,"Але доки це нарешті трапиться, багато добрих людей загине у боротьбі",0
46,"Їм дуже подобається жити в Єрусалимі",1
47,"Він запозичив в неї 50 євро, і вже три місяці не може віддати",0
48,"Це зворушливе відео про єнота побачили вже близько мільйона глядачів",1
49,"Настя дуже любить тварин: у неї вдома живуть троє собак та їжак",1
50,"Твори Івана Франко настільки чудові, що навіть школярі із задоволенням читають їх",1
51,"А чи не забагато тобі буде три пляшки пива, ледарю?",0
52,"Іван з Марійкою провели три тижні в мальовничій Венеції",1
53,"Цей собака дуже любить свого господаря й готовий віддати за нього своє життя",1
54,"Тарас живе під обстрілами вже майже півроку, і це його дійсно бентежить",0
55,"Ірина запізнюється на заняття майже на півгодини, але не намагається навіть попередити вчителя",0
56,"Компанія Макдональдс нарешті остаточно вийшла з Росії",1
57,"В Бостоні відсвяткували двохсоту річницю з заснування міста",1
58,"Десятки міст України залишились без електропостачання, включаючи Львів, Харків та Київ",0
59,"Його комп'ютер від компанії Леново вже досить старий і не може добре працювати",0
60,"Треба вже купити нову машину, але, по-перше, немає грошей, а по-друге, куди діти стару?",0
61,"Залишилось вже трохи менше місяця до Різдва, найулюбленішого свята всіх християн",1
62,"Росіяни поцупили єнота з зоопарку Херсона - яка ганьба!",0
63,"В Оксани не залишилося ніяких цензурних слів від такого неподобства",0
64,"Хоча ховрахи й маленькі, але вони дуже розумні тварини!",1
65,"В Сполучених Штатах набагато більше різновидів білочок, аніж в Європі.",1
66,"В Гейдельберзі така чудова архітектура, що хотілося б залишитися там назавжди.",1
67,"Маленький опосум сидить під кущем і довірливо дивиться навколо.",1
68,"Він заробляє тільки 30 тисяч доларів на рік, - це майже ніщо, якщо ти живеш у Нью-Йорку",0
69,"На щастя, у Дмитра є багато теплого одягу щоб пережити цю холодну зиму",1
70,"Дитина Оксани досить агресивно поводиться в дитячому садочку",0
71,"Вчені з різних країн працюють разом над цією проблемою, але досі ще не досягли успіху",0
72,"В цьому фільмі мені найбільш сподобалась гра актора, що виконував головну роль",1
73,"В Єллоустоні вже досить велика популяція ведмедів, і всі вони поводяться досить миролюбно.",1
74,"В цій мандрівці ми їхали не більше двохсот миль на добу, і це було для нас досить комфортно.",1
75,"Завдяки підтримці від фонду Ротшильдів Тетяна має змогу навчатися в одному з кращих університетів Сполучених Штатів.",1
76,"Олег не отримував жодної звістки від своїх друзів у Херсоні протягом трьох місяців.",0
77,"Досить важко знайти роботу професора в американському університеті, але в Європі це ще важче.",0
78,"Стан здоров'я цих мавпочок значно покращився останнім часом.",1
79,"В зоопарку Омахи в цьому році народилися двоє слоненят!",1
80,"Фінансування програми з єврейських штудій в нашому університеті значно скоротилося.",0
81,"Власник компанії Твітер вирішив значно скоротити кількість персоналу компанії.",0
82,"У Сполучених Штатах рівень злочинності значно вищий аніж в Британії.",0
83,"Він так втомлюється на роботі, що ввечері може тільки дивитися телевізор.",0
84,"Останнім часом ми майже не бачили оленів в нашому парку.",0
85,"Хоча студенти й вчаться багато годин на день, їхній рівень володіння українською мовою все ще досить низький.",0
86,"На жаль, я ніяк не можу погодитися на вашу пропозицію",0
87,"Вода в цьому термосі залишається гарячою навіть через 24 години.",1
88,"Купувати товари на сайті Амазону - це дійсно зручно та вигідно.",1
89,"Дуже шкода, що на сайті Волмарту не можна купити продукти харчування.",0
90,"Моєму телефону Самсунг вже три роки, але він все ще працює майже як новий.",1
91,"Хоча ми досить багато мандрували у штаті Вісконсін, ми не побачили жодного борсука",0
92,"Данило нарешті купив собі всі книжки, які потрібні йому для курсів в цьому семестрі",1
93,"Якщо надсилати книги поштою, вони дійдуть до адресата тільки через три тижня, якщо не більше",0
94,"Цей будильник має великий набір мелодій, та ще й опцію завантажувати нові за бажанням володаря",1
95,"Викладати онлайн набагато зручніше, аніж ходити кожного разу до університету",1
96,"Наші білочки дуже радіють, коли отримують від нас горіхи та інші смаколики",1
97,"Настає зима, дні стають коротшими, а ночі - більш холодними",0
98,"Нам було б трохи сумно залишати Америку, бо де ще ми зможемо зустріти так багато різних тварин та птахів.",0
99,"Сашко прийшов до дому після роботи, і тут з'ясувалося, що вдома зовсім нема чого їсти.",0
100,"Цей сайт завантажується дуже швидко, й користатися ним досить зручно.",1
101,"Його почерк майже неможливо зрозуміти, він пише як маленька дитина.",0
102,"В США значно менше вегетаріанських продуктів у супермаркетах, аніж у Німеччині.",0
103,"Цей капелюх тобі зовсім не личить, не варто тобі його носити!",0
104,"Ганна постійно свариться з її чоловіком і хоче вже розлучитися",0
105,"В Олени зовсім не залишається часу щоб якось виховувати свою доньку.",0
106,"Як раз зараз я, як в тому анекдоті, "маю час та натхнення".",1
107,"Сергій дійсно вміє викладати іноземну мову, бо в нього є великий досвід.",1
108,"Олексій не встиг приготувати їжу до повернення Тетяни, і вона розсердилася, бо була дуже голодна.",0
109,"Яструб - смертельна небезпека для білок, тож вони мають бути постійно дуже обережні.",0
110,"Чому ти ніколи не можеш зробити цю справу нормально?",0
111,"З таким комп'ютером ти не зможеш опрацювати цей архів навіть за десять днів.",0
112,"Я сподіваюся, що через десять років люди вже не будуть їсти тварин або полювати за ними.",1
113,"Його прийняли до університету, незважаючи на низький рівень знань.",1
114,"В Росії ще й досі не зрозуміли, що нападати на інші країни це погана ідея.",0
115,"Зробити треба багато, а часу залишилось зовсім мало.",0
116,"Цей гурт отримав перше місце на міжнародному фестивалі.",1
117,"Василю не подобається жодна з груп, які прийняли участь в цьому концерті.",0
118,"Олександра не впевнена в своїх почуттях щодо Віталія, тож поки що не згодна одружитися з ним.",0
119,"Їжа нарешті готова, йди вже до столу!",1
120,"Не можна ремонтувати цей прилад, коли він під напругою!",0
121,"Шерлок Холмс - найбільш відомий з усіх персонажів Артура Конан-Дойла",1
122,"Краще їсти цю страву гарячою, вона тоді смачніше",1
123,"Нема нічого смачнішого за борщ, який готує моя дружина!",1
124,"Кажуть, що колись штучний інтелект захопить землю, але мені здається, що то маячня",0
125,"Андрій дуже ретельно ставиться до своєї роботи, і завжди робить її вчасно",1
126,"Речення цього філософа дуже довгі, і зміст його висловлювань не зовсім зрозумілий",0
127,"Ці фігуристи відпрацювали обов'язкову програму без жодної помилки!",1
128,"Швеція відома всьому світу завдяки компанії ІКЕЯ!",1
129,"Такими темпами ти не впораєшся з цією роботою до пізньої ночі",0
130,"Ці ліки можна купити майже в кожній аптеці",1
131,"Дуже смачно!",1
132,"Маєш рацію!",1
133,"До біса вашу пропозицію!",0
134,"Красно дякую!",1
135,"Так не роблять!",0
136,"Саме так!",1
137,"Вибач, але ні",0
138,"Воно тобі не треба!",0
139,"Ні за що!",0
140,"Ти не помилилася!",1
141,"Йди звідси!",0
142,"Яка мила дитина!",1
143,"Що тобі від мене потрібно?",0
144,"Яке кінчене!",0
145,"Це мені не подобається.",0
146,"Виховані люди не лаються російською мовою.",0
147,"Дідько його знає!",0
148,"Ти диви, який розумнику!",0
149,"На жаль, штучний інтелект зовсім не розуміє іронію та сарказм",0
150,"Тепер можна трошечки відпочити.",1
151,"Кенгуру живуть в Австралії, і мені б дуже хотілося їх побачити",1
152,"Адам вміє тільки повторювати чужі слова як папуга",0
153,"Та Алон же здоровий як бик!",1
154,"Тут може допомогти тільки медичне втручання",0
155,"Пітер же товстошкірий немов носоріг, його нічим не можна розворушити!",0
156,"Єва працює весь день немов бджілка",1
157,"Ми були в зоопарку в Денвері, але не побачили там пінгвінів",0
158,"В супермаркетах мережі Новус є майже все, що потрібно для домашнього господарства",1
159,"Віктор впертий як віслюк, він нізащо не погодиться змінити свою думку",0
160,"В нашій оселі вже третій тиждень немає гарячої води",0
161,"Щось тут занадто жарко, як в Африці!",0
162,"Він вільний птах, може мандрувати куди забажає",1
163,"В цих обставинах Джеймс почувається комфортно, як риба у воді",1
164,"Я купила новий дезодорант, але щось він мені не до вподоби",0
165,"Цей текст не є відкритою офертою",0
166,"Кожна відповідальна людина має носити маску в людних місцях.",1
167,"Та він же просто акула капіталізму!",0
168,"В твоєму віці я вже давно заробляла гроші на свої забаганки, а ти й досі просиш гроші у мами",0
169,"Не бійся, все буде добре!",1
170,"Та ти шо, зовсім дурень?",0
171,"Ми вимушені відхилити ваше прохання.",0
172,"Щоб отримати громадянство, вони повинні витратити безліч часу й грошей.",0
173,"Так, ми приймаємо вашу пропозицію",1
174,"Томаше, чому в тебе такий брудний одяг?",0
175,"Мірі, як можна зробити в такому простому тексті дванадцять помилок?",0
176,"Петро є дуже порядною людиною, як майже всі, хто народився і виріс в Ужгороді",1
177,"Після тривалого перебування у воді у Петрика дуже болять вуха",0
178,"Надя була енергійна як молода антилопа.",1
179,"Пес його знає, чому Степан не прийшов на зустріч з інвесторами.",0
180,"Інвестиції у розвиток Запоріжжя виросли втричі.",1
181,"Теодору вже набридло слухати маячню, яку ніс його батько.",0
182,"Казати це саме зараз було трошки недоречно",0
183,"Та невже ти не можеш хоч інколи помовчати?",0
184,"Артур завжди чемно вибачається, якщо робить якусь помилку",1
185,"Берта все помічає, в неї зір як у орла!",1
186,"Маєш спитати це у Валентина, він розуміє в цьому набагато краще, ніж я",1
187,"Що ти верзеш?",0
188,"Галя розмовляє французькою майже без акценту!",1
189,"Для мене ота математика - темний ліс.",0
190,"В нього апетит добрий, як у вовка, а шлунок міцний, як у койота.",1
191,"Тільки в Лейдені роблять справжній лейденський сир.",1
192,"Ті, хто підтримують окупацію чужої землі будь-де - кінчені мерзотники.",0
193,"Сподіваюся, що ця історія матиме добрий кінець.",1
194,"Вони розлучилися і більше ніколи не бачилися.",0
195,"Боюся, що Олесь і цього разу зробить якусь дурницю.",0
196,"Ярослав вчився в Кембриджі чотири роки, але так і не навчився нормально розмовляти англійською.",0
197,"На моє щастя, вони не задавали мені занадто важких запитань.",1
198,"Вона має кожного дня пити аспірин, бо дуже болять в неї суглоби.",0
199,"Рон боягуз, при найменшій небезпеці біжить як заяць.",0
200,"На даний час це один з найкращіх датасетів для української мови.",1